product_id,slug,decision,reason,payload_keys
258880c1-b82e-4774-afac-4e5f03e33547,st-patrick-willy,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-willy/st-patrick-trouwjurk-willy_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
15afa989-5276-4fe8-9c5e-f499511f1a29,st-patrick-simmer,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-simmer/st-patrick-trouwjurk-simmer_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
428ba26b-8378-45d6-bc29-9aa3f7f9571a,st-patrick-santia,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-santia/st-patrick-trouwjurk-santia_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
16dd7a6a-ecd8-442d-b2fe-8ccd56c67cda,st-patrick-renne,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-renne/st-patrick-trouwjurk-renne_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
d5915d04-51fa-43f0-8ee4-41f0c7c624eb,st-patrick-odessa,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-odessa/st-patrick-trouwjurk-odessa_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
65310f36-374d-40c6-8feb-0b38d2f17db5,st-patrick-mediva,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-mediva/st-patrick-trouwjurk-mediva_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
1e5483ed-af94-47df-9df6-3ec7404987ed,st-patrick-magica,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-magica/st-patrick-trouwjurk-magica_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
af771cc7-d030-4517-8468-1dbbbe7a1686,st-patrick-inno,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-inno/st-patrick-trouwjurk-inno_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
e18075d3-6eca-4f53-afa2-6800b18ac63b,st-patrick-chatty,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/St. Patrick/model-chatty/st-patrick-trouwjurk-chatty_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
ffc438e4-bf4a-4293-98ee-9512522bbfe7,rosa-clara-dalila,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Rosa Clara/model-dalila/trouwjurk-outlet-rosa-clara-dalila_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
73f15433-9d53-4999-9b2d-7ec5b6d9e136,ronald-joyce-wedella,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Ronald Joyce/model-wedella/trouwjurk-ronald-joyce-18464-wedella_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
72256fde-6834-49ae-b8a6-44d00784b10b,randy-fenoli-luxe,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-luxe/randy-fenoli-trouwjurk-gentry-luxe_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
a1552467-9b97-44bb-89cf-16b38be273aa,randy-fenoli-ida,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-ida/randy-fenoli-trouwjurk-ida_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
b8c052c2-790a-484e-87f9-548d4a1cad68,randy-fenoli-goddess,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-goddess/randy-fenoli-trouwjurk-goddess_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
f51891c2-a11a-4618-bd07-9465161e7000,randy-fenoli-giselle,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-giselle/randy-fenoli-trouwjurk-giselle_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
9b7b3932-25cc-48d9-b477-dea267e26b7f,randy-fenoli-foster,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-foster/trouwjurk-randy-fenoli-foster_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
4b8d0851-83a3-486a-b92a-93bbe5228049,randy-fenoli-fleetwood,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-fleetwood/trouwjurk-randy-fenoli-fleetwood_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
21b228d9-b7da-4210-b4e9-80fb2d1f7b35,randy-fenoli-faith,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-faith/trouwjurk-randy-fenoli-faith_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
350ce8fa-b049-4c53-9f23-61f7ec2a8b58,randy-fenoli-dominique,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-dominique/trouwjurk-randy-fenoli-dominique_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
00279279-66cf-46de-8ae5-3de7b78c9167,randy-fenoli-dimitira,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-dimitira/trouwjurk-randy-fenoli-dimitira_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
a7fa490e-06b8-49f5-852d-f8f9a8ac99ff,randy-fenoli-dani,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Randy Fenoli/model-dani/trouwjurk-randy-fenoli-dani_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
0dcaca41-f105-4f01-831a-3695f8eb9663,private-label-by-mariage-trouwjurk,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Private Label by Mariage/model-trouwjurk/private-label-by-mariage-trouwjurk_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
0cdad691-1bff-4c79-8283-1f203317d1a2,orea-sposa-l965,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Orea Sposa/model-l965/trouwjurk-outlet-orea-sposa-l965_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
553e3257-aef0-4973-ab4c-792f90de2c79,orea-sposa-l918,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Orea Sposa/model-l918/trouwjurk-outlet-orea-sposa-l918_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
7f2bc5d6-5535-4d32-81cb-fa272c1825e4,orea-sposa-l917,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Orea Sposa/model-l917/trouwjurk-outlet-orea-sposa-l917_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
d668afa4-19c1-4810-a271-9703d2e10664,oksana-mukha-tilly,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/OKSANA MUKHA/model-tilly/oksana-mukha-trouwjurk-tilly_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
4ffe7ad1-eef7-44e6-b4fe-e84b9cce9c01,oksana-mukha-paige,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/OKSANA MUKHA/model-paige/oksana-muhka-trouwjurk-paige_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
1157b95e-4352-4858-af3a-4a635f9541e8,oksana-mukha-molly,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/OKSANA MUKHA/model-molly/oksana-mukha-trouwjurk-molly_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
46a954db-1c13-494b-9502-5c471c60e21b,oksana-mukha-manuela,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/OKSANA MUKHA/model-manuela/oksana-mukha-trouwjurk-manuela_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
a5d08e3d-0a35-4b59-ac6a-7599530e9761,oksana-mukha-heidi,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/OKSANA MUKHA/model-heidi/oksana-mukha-trouwjurk-heidi_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
b19a18da-6d47-458f-ad24-d11d8b023851,oksana-mukha-darcia,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/OKSANA MUKHA/model-darcia/oksana-mukha-trouwjurk-darcia_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
c67ecb3e-f63f-4e03-a390-bea83ba4663c,oksana-mukha-caroline,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/OKSANA MUKHA/model-caroline/oksana-mukha-trouwjurk-caroline_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
b29a738c-1270-4846-818b-1d571c713cbd,oksana-mukha-ayah,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/OKSANA MUKHA/model-ayah/oksana-mukha-trouwjurk-ayah_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
